,text,label
15,绿盟企业安全中心系统 ESPC随着企业对信息技术越加依赖，安全问题也越加凸显。从爆库门（用户信息泄露）到间谍门（企业数据窃取）再到棱镜门（数据窃听），时时刻刻提醒着我们在IT技术迅猛发展的同时，安全威胁也在不断地发生着演变，新生的威胁（如挂马、钓鱼、0Day、APT）正在不断涌现。安全威胁日趋常态化，导致企业安全防御设备的专业化和多元化，也给IT运维管理工作带来了困惑。绿盟科技总结十余年运维管理经验，推出了绿盟企业安全中心系统，是绿盟自有安全设备的安全管理平台。通过设备状态监控、设备集中升级、安全策略下发、全局威胁监控、日志管理、报表统计等手段，协助客户快速了解设备运行情况与威胁情况，有效降低多设备运维难度、提升运维效率。,安全
16,"中包装双秤DCS-25K-3C适用于大米、种子、制糖、食品等行业的颗粒料定量包装。▲  双进料及双计量机构，高速装包，大大提高产量。▲  计量精度高，性能稳定，操作简便。▲  采用进口技术控制仪表、传感器、气动执行部件。▲  误差自动修正、超欠差报警、故障源自诊断等功能。▲  与物料接触部件均采用不锈钢材料，使用寿命长。▲  预留RS232/485串行口，可与外围管理系统进行数据通讯。分类： 大米行业, 定量包装秤相关产品",智能装备
17,"KM 斜齿轮-准双曲面齿轮减速机KM系列斜齿轮-准双曲面齿轮减速机是我公司自主研发的新一代实用性产品。采用准双曲面齿轮传动，传动比大输出扭矩大，传动效率高，节能环保优质铝合金铸造，重量轻，不生锈传动平稳，噪音小，适合在恶劣环境中长期连续工作打勾icon.png 美观耐用，体积小 可适应全方位安装，应用广泛，使用方便 KM系列减速机安装尺寸与NMRw系列蜗轮蜗杆减速机完全兼容 模块化组合,可多种形式组合，满足各种传动条件的需求",智能装备
18,工程项目管理软件,工业软件与平台
19,"SOM-5871支持4个对称独立显示COM R3.0 Type 6 紧凑型模块双通道DDR 4，最大32 GB(ECC可选)支持4K显示 (2nd DisplayPort 支持最高可达 8K)丰富的IO 接口-2 SATA, 3 USB3.0, 8 USB 2.0, 2 COM, TPM, CAN Bus (可供选择)支持 iManager, WISE-PaaS/RMM和嵌入式软件 APIs",工业自动化
20,工业声学AI，视觉检测，质检及预测性维护，智能检测软件系统解决方案,工业软件与平台
21,"N95口罩机,全自动生产线设备N95口罩机生产销售，详细参数、性能、价格，咨询热线13356855777一、全自动N95立体口罩机应用于3-6层医用及防雾霾立体式N95口罩的生产，实现了由无纺布原料到成品口罩的全程自动化生产。主要由原料架、焊接压形、耳带焊接、折叠焊接和滚切成形等五个功能模块部分组成。整条生产线采用全自动耳带定长切焊合技术、最新超声波焊接技术、PLC自动控制技术，全机自动化、智能化程度较高，1人可同时操控2～4台车，可以大幅减少挡车人员，具有技术先进、结构合理、运行可靠、操作方便、生产效率高等特点，可实现单机",智能装备
22,"全自动极片裁切机全自动极片裁切机功能概述本设备主要应用于锂电池之间隙涂布碾压分条后极片的冲裁、叠放工艺环节，使用五金模具将料带全自动冲裁成符合要求的单片极片，并自动叠放在料盒内；技能特点● 采用变频电机自动放卷,并具有纠偏功能● 浮辊张力闭环控制料卷张力，并带有储存料带功...",智能装备
23,GT-400型宽温场热电偶退火炉为了贯彻ITS-90 国际温标和国际电工委员会IEC-95标准。我国对测温材料.测温仪表。温度计量颁布了新的产品标准和检定规程，特别是对热电偶检定炉的温场重新做了规定。我研究所借助于材料科学的新进度和特殊的温度补偿技术，按JJG75-95和JJG668-97规程要求开发GT-400型宽温场热电偶退火炉，经上海计量测试技术研究院检测并使用，各项技术指标均符合规程要求，满足了标准铂铑10-铂热电偶、工作用铂铑10-铂、铂铑13-铂热电偶、铂铑30-铂铑6检定的需要。一般精度越高，价格越贵。,智能装备
24,日本安川MPP3H小型、轻量、节省空间全轴低功率输出，无需设置安全栅栏，设备构成简易小型控制柜，省空间机器人型号 MPP3H适用控制柜 FS100*4设置 C自由度 4可搬质量 3kg垂直伸长度 300mm水平伸长度 φ 1300mm重复定位精度*2 ±0.1mm动作范围 S轴（旋转） -L轴（下臂） -E轴（肘） -U轴（上臂） R轴（手腕旋转） -B轴（手腕摆动） T轴（手腕回转） -360° ~ +360°最大速度 S轴（旋转） 循环时间(25-305-25)1kg：230cpm*63kg：150cpmL轴（下臂）E轴（肘）U轴（上臂）R轴（手腕旋转）B轴（手腕摆动）T轴（手腕回转）容许力矩 R轴（手腕旋转） -B轴（手腕摆动） -T轴（手腕回转） -容许惯性力矩（GD2/4） R轴（手腕旋转） -B轴（手腕摆动） -T轴（手腕回转） *7本体质量 115kg电源容量*3 1.5kVA,智能装备
25,PLC系统柜PLC系统柜,工业自动化
26,H3C GR3200 企业级千兆路由器H3C GR3200系列产品是H3C推出的新一代高性能企业级路由器，采用全新硬件架构、具备丰富的软件功能、支持全面的安全策略。定位于以太网/光纤/xDSL接入的中小商业市场（SMB），可部署于百人以下的商业用户，如写字楼、沿街、小办事处等网络环境。全新的硬件架构，全千兆高速上网体验* 采用全新的硬件架构，专业的双核64位网络处理器。* 支持2个千兆WAN口，3个千兆LAN口。* 硬件拨码开关，路由及纯AC模式一键切换。支持LAN/WAN切换，负载均衡* 默认双WAN口，支持LAN/WAN切换，便于多运营商接入，提高出口上网速率，最多支持4个WAN口。* 支持负载均衡，可以让用户根据线路实际带宽分配网络流量，达到充分利用带宽的目的。* 支持带宽保障，当其中一条运营商线路出现故障时，其余线路也能正常工作，上网不受影响。企业级IPSec VPN/L2TP VPN功能* 支持IPSec VPN，通过简单的WEB配置实现端到端安全的VPN连接，支持多种加密算法，是分支节点理想的接入设备。* 支持L2TP VPN，同时支持LNS（服务器模式）、LAC（客户端模式），使总部+分支机构的组网方式更便捷、更安全。支持快速扩展无线AP* 内置AC功能，支持对H3C Mini系列无线AP的统一管理。* AP零配置，即插即用。专业的上网行为管理，智能的流量管理* 支持全新的用户上网行为管理模块，支持组策略的配置，通过该模块可以轻松的制定企业用户的访问权限和策略。* 支持多种即时通信软件的应用控制，比如QQ/IM软件的应用控制功能。* 通过基于IP的网络流量限速机制和NAT表项限制机制，可以有效控制BT/迅雷等P2P软件对网络带宽的过度占用。* 支持针对IP网段/IP范围以共享和独占的方式根据特定的时间段进行 QoS策略配置，满足用户灵活的业务配置需求。企业级的安全防护* 内置专业的防火墙，可以防护外部多种专业的攻击手段，如：ARP攻击、DDOS攻击、端口扫描等等。* 支持ARP防伪认证功能，可以有效地避免内部PC中毒后引起的网络中断，有效保障上网体验。,工业自动化
27,全自动（真空）注液机全自动（真空）注液机功能概述：本设备主要用于软包液态锂离子电池的自动注液、抽空预封装等。实现对软包装锂离子电池的注液前自动扫码，称重，注液，真空静置三次，真空封口，注液后称重，对NG电芯分选，良品电芯由料盒输出。技术特点：● 产品自动扫码、自动注液前称重。,智能装备
28,ABM 通用型伺服电机ABM-x08尤其适用于对伺服性能和功能要求高且对价格敏感的电机应用,工业自动化
29,"ASA5525-K9防火墙CISCO ASA5525-K9详细参数主要参数 下一代防火墙并发连接数500,000网络吞吐量状态检测吞吐量最大：2Gbps，多协议状态检测吞吐量：1Gbps，IPS吞吐量：600Mbps网络端口8个GE接口控制端口2个USB2.0接口，1个console端口VPN支持支持一般参数 电源AC 100-240V，50/60Hz，4.85A外形设计1U产品尺寸42.4×429×395mm产品重量6.77kg其他性能750 IPsec VPN peers，2 SSL VPN peers，8 copper Gigabit Ethernet data ports，1 copper Gigabit Ethernet management port，1 AC power supply，Active/Active High Availability，2 security contexts，3DES/AES license",安全
30,"供应链云平台, WMS, TMS",工业软件与平台
31,中小企业管理软件,工业软件与平台
32,EPC-U2217研华EPC-U2217掌上型精简型工控机，宽压，宽温，低成本，自动化应用专用I/O设计。,工业自动化
33,Hi3861WF-H861-RTA1模组基于Hi3861芯片设计，Hi3861/Hi3881 是一款高度集成的2.4GHz WiFi 芯片，集成 IEEE 802.11b/g/n 基带和 RF（Radio Frequency）电路，包括功率放大器 PA（Power Amplifier）、低噪声放大器 LNA（Low Noise Amplifier）、RF balun、天线开关以及电源管理模块等。Hi3861/Hi3881 WiFi 基带实现正交频分复用（OFDM）技术，并向下兼容直接序列扩频（DSSS）、补码键控（CCK）技术，支持 IEEE 802.11b/g/n 协议。,工业自动化
34,KJJ660(A)矿用隔爆兼本安型万兆网交换机系统是针对煤矿无线通信需求和特定环境应用开发的通信系统。技术成熟稳定，核心网采用软交换技术，支持后续产品平滑升级，有效保障投资价值。系统完全支持无线蜂窝覆盖通信，能够灵活扩容，满足大矿区大容量通信需求，可通过中继与有线通信网络连网。,工业自动化
35,重载AGV重载运输车是用来装载和运输重型零件或组件的一种运输工具；重载运输具有自动升降、自动导向、运行控制、防撞击、运行提示、全方位转向、适应不平地面等功能，操作方便，安全性较高，运行稳定；大物料（超重、超长）的自动化搬运，一直是AGV行业的技术难点。重载AGV主要应用于仓储、制造、港口、机场、危险场所、特种行业等，新松公司研制成功的重载AGV不但填补了国内重载物料搬运机器人领域的空白，还将有力提高重载领域物流自动化的水平，减轻人的劳动强度，提高生产效率，缩短物流周期，加速资金周转，提高经济效益。,智能装备
36,CNC/PLC数据采集PLC可以采集的内容很多，只要PLC能控制的数字信号，包括开关量，数字量，都可以从PLC中采集到，包括： 设备状态采集（故障停机、空闲停机、正常加工），生产产量采集，设备报警信息，安灯信号采集（ 三色灯状态）。 通过对这些设备数据的分析，加上时间维度，产线工序维度，就可以进行，OEE统计，设备稼动率统计。当然针对一些大型的自动控制系统，则可以通过控制系统来读取数据，而不需要单点采集了。,工业自动化
37,真空预封装机真空预封装机功能概述 本设备适用于软包装锂电池注液静置后抽真空，再热压封口技术特点：● 可根据封装工艺要求预设封装温度、时间、压力、真空度，温度异常报警功能● 独立电箱控制，电箱与主机分离，不占用手套箱空间，提高电气元件寿命● 腔体周边有防护挡板，上料.,智能装备
38,GAP1200系列协议安全隔离网闸GAP1200系列协议安全隔离网闸,安全
39,FPM-7151TFPM-7000T系列是首款全平面设计4:3工业级显示器。为了提高耐久性，FPM-7000T采用了具备IP66防护等级的全平面触摸屏、压铸铝合金面板和5线电阻触摸屏。FPM-7000T可在宽温环境下（- 20～60°C）工作，适用于各种环境。多种安装方式设计使其具备极高环境适应性，便于用户应用到系统中。,工业自动化
40,ERP\MES,工业软件与平台
41,总氮水质在线自动监测仪过硫酸钾氧化消解液和水样在高温高压下，水样中的各种含氮化合物经过过硫酸钾氧化消解转变成硝酸盐。在酸性条件下，硝酸盐与显色剂络合反应，最后根据颜色的深浅与样品中的氮含量成正比，从而得到样品中的总氮含量。,智能装备
42,ZTC800H7汽车起重机行业首款80吨7节臂产品，100吨的性能 & 智能吊装行业最长7节65.6米“U”型主臂！综合起重性能领先行业同吨位级10%以上！最大作业高度超90米！技术优势性能强劲 E行业最长7节65.6m“U”型主臂，综合起重性能领先行业同吨位级10%以上，作业工况覆盖行业100吨产品。²  可同时随车携带副臂、3m重型鹅头架正常行驶，使用方便快捷，作业工况更丰富。²  行业50吨级自重平台，转场行驶可带11吨配重；动力强劲，最高车速90km/h。精准平稳作业动作定制专业慢档功能，回转最低稳定速度0.1°/s，起升最低稳定速度2.5m/min，满足精确吊装作业。节能环保智能化多功率模式的节能系统，作业平均油耗4.5L/h，综合节油20%。智能物联 & 智能吊装将车载信息搬到远程，通过手机app实现全方位的信息管理。  ²  工况自规划技术，自动推荐最优工况，简化查询与设置工况过程。²  起重变幅补偿控制技术，通过控制起重机变幅角度，自动实现对起落钩时，吊臂变形引起的幅度变化进行补偿。²  卷扬随动控制技术，在伸缩、变幅时，由控制系统自主控制卷扬，节省作业时间，提升操作便利性，并具备多种操作模式。,智能装备
43,Xplore型新能源物联网智能信息终端Xplore型物联网终端适用于新能源电动汽车领域，满足GB T32960标准，支持4G通讯、GPS BDS定位，支持多路工况数据采集、故障定义、异常报警、远程锁车和解锁、远程升级等；为用户提供车辆符合性认证、补贴申请、定位跟踪、远程操作、故障预警等服务。,工业自动化
44,数字化转型，PLM，智能服务平台，服务生命周期管理，技术资料,工业软件与平台
45,工控防火墙工控防火墙通过区域隔离、通讯管控、实时报警，为工业通讯提供独特的、工业级的专业隔离防护解决方案。具备多模式适应、全天候威胁监测、智能白名单访问控制、工控协议深度解析、IP/MAC深度绑定、自身安全保护等功能，适用于企业办公网络与生产网络的隔离、工控网络域间隔离、保护控制系统的安全。,安全
46,移动可信环境感知系统移动可信环境感知系统包括终端环境感知，风险评估，策略合规评估，终端安全评级和联动控制。结合“移动业务安全”“零信任”等方案，为企业安全移动办公赋能。移动可信环境感知系统由移动端的感知组件和环境感知控制台两部分组成。客户端组件负责移动终端系统内静态、动态环境感知数据并上报控制台。环境感知控制台负责对终端安全感知上报数据进行分析，并对移动终端环境的安全状态进行整体评估，同时负责配置和下发环境感知系统风险评估和合规策略。确保移动业务应用的安全运行。,安全
47,H3C MSR 3600 路由器随着云业务大规模的应用，广域网为支持这些应用也出现了重大变革，用户对于传统路由设备提出了新的需求，其主要体现在以下几个方面：* 网络性能需求。在基本的带宽、性能和可靠性需求基础之上，更加关注网络时延、抖动等网络指标以保证业务在云广域网络中的体验* 网络安全需求。伴随着无线通信接入技术的进一步发展，网络接入终端形态已由单一的PC发展为多元化的智能终端、PAD、扫描枪等丰富的终端接入形态，BYOD(Bring your own devices)日趋风行，网络安全边界被打破，客户对于网络设备的安全性提出了更高的要求* 网络管理需求。客户需要更加简单、自动化的管理手段，简化网络设备和承载应用的配置、变更、管理与维护，并能对对网络设备进行自动化部署和管理，以提高效率和降低管理成本* 云支撑技术需求。网络设备要具备丰富的云网络和云计算的支撑技术以满足云网络应用和计算的需要，如有关虚拟化、开放式架构平台等技术面临这种机遇和挑战，H3C公司依靠十多年对企业网和运营商网络的深入理解以及扎实技术的积累，开发了MSR3600多业务路由器。MSR3600既可作为中小企业的出口路由器，也可以作为政府或企业的分支接入路由器，还可以作为企业网VPN、NAT、IPSec等业务网关使用，与H3C的其他网络设备一起为政务、电力、金融、税务、铁路、教育等行业用户和大中型企业用户提供全方位的网络解决方案。H3C公司是业界最早提出路由交换一体化理念并成功付诸实践的网络厂家，目前路由交换一体化设备已经在很多领域得到了普及推广应用，特别是金融、政府、教育及中小企业等行业。为进一步巩固和深化路由交换一体化设备的应用成果，H3C公司在MSR3600系列设备中增加了高性能、高密度和全千兆的路由交换一体化设备，该设备既满足用户对于路由交换一体化设备的新要求，又符合网络设备发展的趋势，有利于保护用户的投资。MSR3600多业务路由器产品包括：MSR3610-X1、MSR3610-X1-DC、MSR3610-X1-DP、MSR3610-X1-DP-DC、MSR3600-28-SI、MSR3600-51-SI、MSR 3610、MSR 3620、MSR 3640、MSR 3660、MSR3620-DP、MSR3600-28-X1、MSR3600-28-X1-DP、MSR3600-51-X1、MSR3600-51-X1-DP路由器。,工业自动化
48,东软Neteye云安全系统（NCSS）东软NetEye云安全系统（NCSS）是东软网络安全基于对云计算安全的深入理解，最新推出的具备创新性的产品。针对数据中心中二层隔离，流量盲区的痛点，通过引流、微分段以及可视化等技术，为用户提供私有云环境网络安全解决方案。 产品单一管理入口，分布式透明部署。现有数据中心网络无需调整，即可拥有下一代防火墙层级的安全保障。,安全
49,脱氧剂检测机脱氧剂检测机,智能装备
50,网络性能管理,工业软件与平台
51,LCD-105TLCD-105T,工业自动化
52,"TPM, 设备数据治理平台，设备数据采集",工业软件与平台
53,数据安全交换系统随着信息化建设的不断深入发展，为保护重要数据和应用系统的安全，目前各级政府部门及大中型企业普遍采用了多网络并行的方式。此方式虽然解决了部分网络安全性问题，但同时也暴露出信息系统分散、异构和封闭等问题，导致各系统之间不能互联互通和信息共享，形成了一个个的“信息孤岛”。为进一步提升信息化水平，整合资源，提供更高效的服务，信息资源的交换共享需求应运而生，捷普数据安全交换系统打破了信息孤岛，使网络隔离下的数据共享问题迎刃而解。能实现海量数据在不同网络、不同系统、不同数据源之间异构的安全交换，满足用户对各类平台及应用系统间的数据交换和共享的需求。捷普数据安全交换系统是一款集安全性和高效性于一体，能够实现跨安全域数据交换的网络安全产品。产品由非信任端服务器和信任端服务器组成，通常部署在安全隔离设备两侧。提供基于数据库和文件的安全数据交换，适用于对跨安全域数据交换有高效、安全、可靠需求的政府及企业用户。,安全
54,"ZTC350H562汽车起重机35吨的价格 , 50吨的性能，更高、更远、更强！² 平台升级² 行驶状态自重39吨，外带1.5t副配重，整机作业抗倾翻能力更强。² 吊臂截面、车架截面、支腿截面达50t级别，更大更强² 性能跨级² 行业最长的主臂：44m，高出竞品1-2m。² 行业最大支腿跨距：2级腿7.3m横跨，吊远稳定性最强。² 基本臂最大起重力矩1568kNm，最长主臂最大吊载8.5t，中长臂起重能力达到50t级别² 动力强劲 ² 工程机械专用低速大扭矩传动系统，动力强劲，最高车速85km/h；² 新一代橡胶悬架+V形推力杆技术，整车侧向稳定性、行驶平顺性更好，有效提高轮胎寿命；² 满足G类车要求，行驶通过性更优。 ² 智能高效      ²   中联新一代4.0两室，空间大，行业唯一带操纵室俯仰的35t起重机；² 行驶转向，换挡等操控力大幅低于国家标准，轻便灵活，标配倒车视频。² 车载信息平台，实现安全监控、故障诊断、运营与作业信息记录；² 远程信息平台，将车载信息搬到远程，通过手机app实现全方位的信息管理。",智能装备
55,绿盟上网行为管理系统 SAS-W绿盟安全审计系统-上网行为管控系列SAS-W，能够对用户上网行为进行精细管控和全面审计，同时还可以作为上网准入设备、流量管控设备、互联网出口网关和VPN互联网关等，此外还具备入侵防护、病毒防护等基本安全防护功能，是一款既可以满足用户基础网络建设需求，还能满足法律法规要求的高性价比网络安全设备。,安全
56,直角坐标机器人M系列模块化桁架机器人产品为新松公司多年技术积累、多代技术更迭的成熟产品，采用垂直多关节形式机器人结构，实现高精度、高速度、低震动多轴复合运动。依照不同结构形式分为MGI、MGA、MGT、MGH四个子系列，以适应不同用途。M系类桁架机器人采用模块化设计，用户可根据需要进行模块化拼装，立柱间距可根据设备排布柔性化安装。导轨采用新松公司自行设计研发的矩形导轨，精度高，易于装配调整，配合滚轮轴承，可实现长距离高速运动，且震动及噪音较直线导轨大大降低。采用伺服控制，可实现多轴高精度协调运动。M系类模块化桁架机器人以其高精度、高速度、柔性化等特点广泛应用于零部件加工及平面物料搬运仓储等行业。,智能装备
57,料箱式堆垛机料箱式堆垛机可直接存取塑料箱和纸箱等，将其在货架和输送系统之间传送。可实现快速拣选与发货、密集存储、无噪音操作。标配货物搬运设备可处理大多数产品，也可根据您单个产品的规格和类型量身定制。所有箱式堆垛机可实现密集存储、快速提货与发送。,智能装备
58,TS-100 物料提升机功能：该机配合颗粒、粉剂包装机使用。只需将物料倒入提升机的料斗内，机器自动把物料送入包装机料斗内。主要用途：TS100 物料提升机主要用于提升如下产品或类似产品：面粉、大米、砂糖、冲剂、奶粉、豆粉、调味品等粉末 、颗粒状物料。,智能装备
59,ICS-11S系列电子皮带计量秤双杠杆结构；采用无摩擦橡胶轴承，抗震效果好；两只称重传感器，受偏载影响小；四组托辊，秤量段长，提高了测量精度；单元组件结构，安装简捷、方便；矩形钢秤架，钢性好，无变形，积尘面小；适用于冶金、电力、煤炭、化工等行业的皮带输送计量,智能装备
60,H3C S7000系列高端多业务路由交换机H3C S7000系列产品是杭州华三通信技术有限公司（以下简称H3C公司）面向融合业务网络的高端多业务路由交换机，该产品基于H3C自主知识产权的Comware V5操作系统，进一步融合MPLS VPN、IPv6、等多种网络业务，提供不间断转发、不间断升级、优雅重启、环网保护等多种高可靠技术，在提高用户生产效率的同时，保证了网络最大正常运行时间，从而降低了客户的总拥有成本（TCO）。H3C S7000系列包括S7006（8槽）、和S7003(3槽)2款产品。H3C S7000可广泛应用于城域网、数据中心、园区网核心和汇聚等多种网络环境，为用户提供了有线无线一体化、有源无源一体化的行业解决方案。,工业自动化
61,FPM-5191GFPM-5000G系列是一款专为工业应用设计的平板显示器，提供15寸、17寸、及19寸彩色TFT LCD显示屏，超大显示屏使画面更为逼真。Direct-VGA信号传输，可与系统中VGA控制板卡相连。用户还可以通过显示的OSD控制键调整图片的显示质量等。前置USB接口，使用户轻松接入控制器，同时提供工业级10-30VDC电源供给，使其成为工厂自动化和机械自动化解决方案的理想选择。,工业自动化
62,移动互联网恶意程序监控系统支持广谱的黑白名单，通过分析域名之间的关系，针对指向相同应用的黑白名单进行关联，形成广谱黑白名单库；支持应用的标签分类，通过对应用的签名、发布厂商、应用描述等特征进行聚类学习、形成分类标签、关联相似应用。静态检测：通过对APK代码的权限、行为等计算危险性权重，汇总得分判定；动态检测：通过模拟沙箱加载APK程序并启动运行，对程序的启动、通信、调用等过程进行跟踪与异常分析，根据动作的危险性及数据的敏感性进行综合判定。多引擎检测：集成多种常见的恶意软件检测引擎，执行并行检测，通过仲裁判定。分析处置设备分为：分析&处置设备-机框和专用分析&处置设备-节点。具有紧凑的结构因素，可将4个独立的双路服务器节点内置于一个紧凑的2U机框中，从而实现智能横向扩展；热插拔服务器节点、电源和磁盘驱动器显著增强了可用性和降低了维护成本；共享冗余和白金级高效电源的使用以及集中安装的风扇单元使能耗最小化；在单个2U箱体中最大可安装四个分析&处置设备节点使得该系统的密度比标准机架式服务器翻了一番。底层采用dpdk收包技术，支持高速数据采集与规则检测引擎；可选配1-4块业务处理卡，最高处理能力达80G。,安全
63,静态检重机静态检重机,智能装备
64,"H3C S5820V2系列交换机H3C S5820V2系列交换机是H3C公司自主研发的数据中心级以太网交换机产品，作为H3C虚拟融合架构（Virtual Converged Framework, VCF）的一部分，通过创新的体系架构大幅简化了数据中心网络结构，在提供高密10GE/40GE线速转发端口基础之上，还支持灵活的模块化可编程能力及丰富的数据中心特性。H3C S5820V2系列交换机定位于下一代数据中心及云计算网络中的高密接入，也可用于企业网、城域网的核心或汇聚。H3C S5820V2系列交换机目前包含以下型号：* H3C S5820V2-52Q：48个1/10GBase-T端口，4个QSFP+端口（每个QSFP+端口可拆分为4个万兆端口），两个电源插槽，两个风扇插槽* H3C S5820V2-52QF：48个1/10G SFP Plus端口，4个QSFP+端口（每个QSFP+端口可拆分为4个万兆端口），两个电源插槽，两个风扇插槽* H3C S5820V2-52QF-U：48个1/10G SFP Plus端口，4个QSFP+端口（每个QSFP+端口可拆分为4个万兆端口），两个电源插槽，两个风扇插槽",工业自动化
65,条码与RFID应用，仓储物流信息化,工业软件与平台
66,ZM-R8000C加大型高端光学对位精密BGA返修台ZM-R8000C是一款加大型高端光学对位精密BGA返修台，适用于5G服务器及大型伺服器类主板的返修。,智能装备
67,云仿真， 协同研发平台,工业软件与平台
68,KUKA分拣机器人驱动方式：双轮差速驱动结构形式：六轮结构，原地转向 运行速度：60 m/min 外形尺寸（长×宽×高）：约800（L）×500（W）×400（H）(mm) 最大载重量：100 kg 最大举升高度：50 mm 自重：130kg;  电压：DC24 电池：锂电池/铅酸电池 充电方式：全自动在线充电 导航方式：二维码视觉导航（不允许采用磁导航） 导航精度：±10 mm 停止精度：±5 mm 安全防护：前方障碍物检测传感器+机械防撞机构双重防护 避障方式：激光/红外 通信方式：无线局域网,智能装备
69,ZXR10 5800 多业务路由器ZXR10 5800是集路由、交换、无线、安全、VPN和NAT于一体的智能集成多业务路由器。ZXR10 5800系列包括两款产品：5800-8 和 5800-4，支持主控和电源等关键部件冗余，可广泛适用于运营商政企大客户接入、DCN等网络，或政企网络的出口网关、企业的总部/分支接入、行业纵向网的汇聚/接入等网络。,工业自动化
70,ERP、SAP全产品线金牌服务商,工业软件与平台
71,达索系统软件推广与服务、3D数字化工艺及仿真管理、虚拟工厂、数字孪生解决方案,工业软件与平台
72,液压伺服系统液压伺服系统,工业自动化
